unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts,qgtse,SeasonalNaive
ID1,mase,0.30200925,0.29061264,0.31464335,0.24322242,0.2710524,0.22763698,0.2948901,0.31881326,0.40501538,0.3588683,1.3309436
ID10,mase,1.1908717,1.2265286,1.3975718,1.275863,1.26525,1.2370901,1.2226223,1.3314884,1.1871988,1.1552725,2.1313908
ID100,mase,0.48669857,0.53650373,0.5669775,0.44790196,0.43815312,0.60142225,0.50293744,0.58466285,0.51348686,0.52502716,0.6221448
ID101,mase,0.6055151,0.54488045,0.5048417,0.7477394,0.8987577,0.5341877,0.5156168,0.41134986,0.5392687,0.55677533,0.89518845
ID102,mase,0.86415327,1.1667063,0.9317737,0.8879169,1.2669646,0.93386817,1.0262945,0.97654974,0.84064204,0.9514448,1.1054027
ID103,mase,0.57355016,0.5723081,0.5802086,0.49675688,0.3927693,0.55326015,0.5250923,0.5499274,0.52848774,0.4966252,0.7836867
ID104,mase,0.9439108,0.9246612,0.79549783,0.85156465,0.84436715,0.80368465,0.7052178,0.87040967,0.7253659,0.8881378,1.0984397
ID105,mase,0.86488503,0.8670789,0.7620937,0.76064825,0.78077346,0.6774203,0.6384385,0.83673775,0.7158754,0.8500931,0.99127084
ID106,mase,0.3318063,0.36715633,0.28386402,0.28770775,0.35276073,0.33518147,0.37215918,0.35840017,0.35681313,0.3620011,0.4424203
ID107,mase,1.0261672,1.2724915,0.87208754,0.9533914,0.9983011,0.9559622,0.9324611,1.0927392,0.9711012,1.1049285,1.1263956
ID109,mase,1.1989756,1.4815284,1.157402,1.2454271,1.328424,1.184311,1.1970037,1.2653632,1.111381,1.1248769,1.3157855
ID11,mase,0.86959684,0.9195378,0.94459015,0.9474897,0.7954026,0.93611443,0.7850724,0.8540383,0.97290367,0.9992303,1.0275849
ID110,mase,1.0201939,1.1910026,1.0794183,0.8407608,0.9825583,1.2605323,1.0697848,1.1247792,1.2034006,1.2764978,1.0465004
ID111,mase,2.96577,2.562612,2.6652834,2.347956,2.4462264,2.4443889,2.6357467,2.7412155,2.7039802,2.6938696,3.4543633
ID112,mase,0.6385754,0.7377554,0.6177681,0.68378377,0.63484967,0.5650165,0.5743751,0.48887056,0.76761323,0.7181429,1.8122567
ID113,mase,0.48508412,0.5965832,0.5044892,0.5641376,0.5452765,0.43840188,0.45830393,0.38086107,0.5909652,0.5734029,1.6487256
ID114,mase,0.7605115,0.7757745,0.82279605,0.81315887,0.71519375,0.72595376,0.7742678,0.6728622,0.76132506,0.8008056,2.682198
ID115,mase,0.27019486,0.29375106,0.23307034,0.27652308,0.2878233,0.2836055,0.28971547,0.25643224,0.3029134,0.31543925,0.6967881
ID116,mase,0.6418058,0.62490433,0.6722982,0.77155155,0.7337114,0.7395845,0.85665303,0.7611907,0.7142176,0.7267595,0.56888604
ID117,mase,1.1888559,1.0517007,0.97614443,1.395756,1.1244148,1.2729849,1.3369592,1.0855309,1.1835636,1.132394,1.1275458
ID118,mase,0.6730841,0.6480447,0.49879044,0.5684398,0.58047926,0.5378116,0.5715345,0.53729624,0.57357997,0.5680309,3.9492388
ID119,mase,0.5405263,0.6169067,0.57443947,0.60665953,0.5457572,0.5028563,0.5181421,0.41302106,0.59649426,0.5849304,2.0553684
ID12,mase,0.9671075,1.0181788,0.88420886,0.8385843,1.0709411,0.93862116,0.9888776,0.9087712,0.97651875,0.9356074,0.9054125
ID120,mase,0.24571928,0.3063661,0.2642819,0.18991669,0.22879256,0.27422634,0.25764266,0.20092808,0.26252043,0.2872474,0.32082865
ID121,mase,0.38728002,0.42605656,0.39105877,0.39537093,0.4141557,0.3298224,0.34753954,0.2640102,0.44713345,0.48671806,1.612157
ID122,mase,0.40540758,0.4005145,0.38951084,0.61556166,0.46719408,0.4439067,0.5414332,0.42213106,0.5018905,0.5436202,0.72865075
ID123,mase,0.38728002,0.42605656,0.39105877,0.39537093,0.4141557,0.3298224,0.34753954,0.2640102,0.44713345,0.48671806,1.612157
ID124,mase,0.35906312,0.34232995,0.37496322,0.38027233,0.26325998,0.28191057,0.33252102,0.33220175,0.29663825,0.3051123,2.326119
ID125,mase,0.66900754,0.7666986,0.6412027,0.8003144,0.8851172,0.680019,0.7994822,0.61750484,0.74073434,0.8249921,0.9395154
ID126,mase,0.33270913,0.28578523,0.26740393,0.3235512,0.26429534,0.30398887,0.2941386,0.25942072,0.35588497,0.4076285,0.69265115
ID127,mase,0.6134916,0.62775797,0.7076977,0.6357431,0.470036,0.62183166,0.6582837,0.57645583,0.7398408,0.70319587,0.69674885
ID128,mase,0.41270947,0.4276928,0.38817966,0.38032204,0.38683492,0.3495834,0.35308906,0.30082688,0.45817417,0.47083712,1.115829
