unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts,qgtse,SeasonalNaive
ID1,mase,0.37888473,0.34347343,0.27360064,0.25345626,0.294022,0.3345945,0.37539878,0.3302392,0.23584852,0.3488479,1.3309436
ID10,mase,1.2375479,1.2788833,1.3037463,1.3048835,1.2828023,1.2074997,1.3301551,1.2492307,1.2334131,1.2558004,2.1313908
ID100,mase,0.5666116,0.6254296,0.53324056,0.48626927,0.5285835,0.5034909,0.5704028,0.53145957,0.6267795,0.5697682,0.6221448
ID101,mase,0.80919105,0.71688974,0.5988793,0.72894806,2.078662,0.6377502,0.61041963,0.7067973,0.73580503,0.58535415,0.89518845
ID102,mase,0.74966913,0.8381174,0.9633152,0.9988436,1.1780065,0.9336603,0.9519948,0.69508547,0.90282243,0.7072702,1.1054027
ID103,mase,0.68584573,0.60083103,0.6230151,0.5518749,0.674025,0.67365056,0.6828189,0.69371986,0.63553214,0.6397892,0.7836867
ID104,mase,0.95344555,0.82176006,0.8218264,0.8738756,0.8924295,0.9507356,0.971658,0.9641608,0.96959305,0.94172674,1.0984397
ID105,mase,0.8675108,0.7614469,0.78484243,0.8017467,0.8323001,0.8839659,0.9174185,0.90368295,0.9136355,0.87662524,0.99127084
ID106,mase,0.3790633,0.34629604,0.33337292,0.30189553,0.35917646,0.3526819,0.37385076,0.35243565,0.38906956,0.36304048,0.4424203
ID107,mase,1.0380632,0.95841926,0.849051,0.98899335,0.94472367,0.975816,1.1091615,0.9844774,1.0350653,1.0431259,1.1263956
ID109,mase,1.1297857,1.1652648,1.0609318,1.1743017,1.1652783,1.1562722,1.148102,1.0969228,1.1177691,1.1620406,1.3157855
ID11,mase,0.91800094,0.9349285,0.93567634,0.9665758,0.9140875,0.8558546,1.0373342,0.868599,0.90652716,0.9324491,1.0275849
ID110,mase,1.4550128,1.6106777,1.1378692,1.0488645,0.9597824,1.3163097,1.3089839,1.3381354,1.320638,1.3341278,1.0465004
ID111,mase,2.7120323,2.5250337,2.8193812,2.2541962,2.8829231,2.7529697,2.4211397,2.9652228,2.6998584,2.7923174,3.4543633
ID112,mase,0.87434286,0.6951841,0.6471985,0.83010906,0.51682967,0.57110924,0.63938844,0.7835475,0.75429064,0.70019644,1.8122567
ID113,mase,0.71284795,0.56915146,0.5077241,0.66740394,0.43522874,0.43030003,0.5470301,0.6053926,0.63761705,0.5351361,1.6487256
ID114,mase,0.7590714,0.7646093,0.72753674,0.78296214,0.7446279,0.72043264,0.7374401,0.7506023,0.7877232,0.84811187,2.682198
ID115,mase,0.32893082,0.29088432,0.23636088,0.23908697,0.27716833,0.31912568,0.2915633,0.25536418,0.27862546,0.3055181,0.6967881
ID116,mase,0.77903444,0.8307534,0.7250035,0.82537144,0.72325176,0.8131251,0.7627828,0.7251785,0.77659446,0.75528324,0.56888604
ID117,mase,1.5364709,1.4117775,1.1569209,1.4428937,1.1260968,1.2871495,1.1987412,1.1916472,1.0871329,1.130299,1.1275458
ID118,mase,0.82664347,1.0491294,0.5860545,0.6551951,0.47927168,0.5499745,0.91473585,0.867509,0.94362444,0.7439762,3.9492388
ID119,mase,0.68446225,0.5823458,0.47011563,0.67353773,0.48289618,0.42869246,0.5226944,0.68740726,0.6085234,0.5810773,2.0553684
ID12,mase,0.809157,0.810193,0.79002875,0.7884675,1.0331218,0.8337842,0.8244499,0.8656336,0.85466343,0.96190846,0.9054125
ID120,mase,0.27459538,0.2669363,0.2701174,0.2520018,0.2208158,0.21669859,0.24270481,0.23290601,0.27975464,0.28072962,0.32082865
ID121,mase,0.4545233,0.4515353,0.3357892,0.3616912,0.24803022,0.3061532,0.3783706,0.41231215,0.31396836,0.42694542,1.612157
ID122,mase,0.44564146,0.45980364,0.3730699,0.45527202,0.3375112,0.4755812,0.44121033,0.44458318,0.4054169,0.46705097,0.72865075
ID123,mase,0.4545233,0.4515353,0.3357892,0.3616912,0.24803022,0.3061532,0.3783706,0.41231215,0.31396836,0.42694542,1.612157
