unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts,qgtse,SeasonalNaive
ID0,mase,0.66067827,0.5594946,0.955364,0.65379936,0.5440844,0.528776,0.57943934,0.48192587,0.5306994,0.56348974,2.0234146
ID1,mase,1.2238697,0.98156816,1.2307153,1.2387547,0.77758926,1.0647095,0.2999681,0.9273983,0.9814093,0.9971359,1.7774295
ID10,mase,1.5568287,1.4975091,1.4139742,1.2895067,1.4338607,1.2618703,1.3358604,1.4586909,1.4118804,1.5189075,1.8304552
ID101,mase,1.5407919,1.5314025,1.6378344,1.0897909,0.8457755,1.4584104,1.4850368,1.2280293,1.2636093,1.3553011,7.6812987
ID102,mase,0.4436446,0.57383984,0.65390337,0.87661904,0.6405197,0.5328343,0.45863855,0.48997512,0.51087743,0.47075272,1.6502922
ID103,mase,0.29391304,0.60419524,0.32997718,0.82315004,0.30370858,0.36294144,0.6662187,0.48689973,0.5708031,0.57122624,2.0384614
ID104,mase,0.356678,0.51985836,0.7124396,0.4135072,0.34051752,0.5713529,0.35623705,0.42053437,0.3614988,0.3656454,3.302027
ID105,mase,0.27834964,0.2583695,0.14340417,0.25667644,0.22136168,0.17943843,0.27395734,0.19142617,0.21375705,0.34635177,1.8073021
ID107,mase,1.3198574,1.1873393,1.2095151,0.7660357,1.1015555,1.1157318,1.3432096,1.3383306,1.427613,1.3506578,2.9213116
ID108,mase,0.94288677,0.931575,0.7844344,1.1886914,0.8218244,0.751586,0.80371016,0.924385,0.888044,0.6347364,0.79044586
ID109,mase,4.6134167,4.535637,4.493512,4.612234,4.436069,4.515231,4.3005624,4.472593,4.4568944,4.4886637,4.5462613
ID110,mase,0.23029287,0.29750732,0.58625126,0.34830463,0.6439541,0.40416518,0.29127207,0.16520423,0.322937,0.31178284,0.49122807
ID111,mase,0.63695365,0.5468641,0.8037567,0.7246677,0.58905554,0.58760154,0.57723415,0.5175032,0.5471571,0.5157349,1.6375946
ID112,mase,0.4161128,0.47232234,0.60868734,0.896572,0.57527816,0.6507181,0.4171241,0.45964277,0.29317096,0.36957312,2.897561
ID113,mase,0.826599,0.820106,0.9579978,0.41489148,0.83115566,0.70181966,0.79481494,0.78736407,0.81076777,0.85165226,0.9585925
ID114,mase,1.3676302,1.6469467,1.4835292,0.59148425,1.1326432,1.3569378,1.0662752,1.4218739,1.3083924,1.3734643,2.2757685
ID115,mase,1.4905796,1.7019868,0.20816769,1.5145746,1.6711911,1.4611412,1.5531176,1.4929014,1.2309904,1.3858364,1.4956268
ID116,mase,0.102092616,0.06701712,0.06984258,0.04321396,0.030280612,0.08409455,0.1131155,0.14365008,0.13810916,0.12665883,1.3096288
ID117,mase,0.26581216,0.26357904,0.2727829,0.29409662,0.28555992,0.29773715,0.26693678,0.2563748,0.2832243,0.2811962,1.3030236
ID118,mase,0.16005598,0.12121866,0.15191448,0.07844485,0.16737327,0.12564467,0.1652893,0.1924809,0.21487714,0.19403583,1.0729381
ID119,mase,0.7442735,0.6140644,0.5957561,0.8458195,0.6681297,0.70302343,0.8047847,0.7444443,0.83075374,0.759903,1.7068273
ID12,mase,0.040814012,0.046212662,0.05948633,0.03719336,0.054526687,0.058251724,0.05061953,0.055468127,0.050630145,0.045833867,0.11320755
ID120,mase,0.24442123,0.1673106,0.039408997,0.2815128,0.10554112,0.14753419,0.24030289,0.17233357,0.35851312,0.29299805,2.8591032
ID121,mase,0.38758168,0.41086724,0.42469054,0.43808794,0.4713647,0.4120084,0.39697313,0.4116843,0.3942897,0.41359788,0.43619797
ID122,mase,0.39549568,0.41635993,0.44323668,0.3472078,0.42148006,0.39885896,0.35198247,0.4021872,0.34817737,0.3727655,1.1764195
ID123,mase,0.5946856,0.5038214,0.5160713,0.24207471,0.48868182,0.41508195,0.6092625,0.5818038,0.6749583,0.62375885,2.0938842
ID124,mase,0.33061317,0.34449348,0.26334134,0.31551382,0.3559263,0.29892272,0.2885141,0.29804116,0.2630278,0.3012228,0.602953
ID125,mase,0.8326713,0.6446213,0.540746,1.1907611,0.34477514,0.35434863,0.9529672,0.5993902,0.6668413,0.36917967,0.16764669
ID126,mase,1.4753686,1.5043546,1.7742071,1.5195489,1.4403217,1.3581113,1.4160806,1.466606,1.4160987,1.5106553,2.4829545
ID127,mase,0.4429255,0.49772823,0.45708263,0.38331944,0.37059483,0.41498747,0.4246154,0.38780823,0.36945352,0.4013107,2.4201362
ID128,mase,0.039880693,0.07784146,0.07009384,0.28922153,0.14607961,0.09399289,0.036910865,0.021925893,0.093427554,0.0668854,2.2648525
ID129,mase,0.3073055,0.17152956,0.25985783,0.15236193,0.1800972,0.2919383,0.33741987,0.3834274,0.418957,0.35246763,3.544681
ID13,mase,1.200957,1.2617986,1.0770521,1.244302,1.1251781,1.1057938,1.222433,1.3119686,1.183177,1.1657919,1.4522916
ID130,mase,0.16688845,0.2309232,0.19225305,0.222378,0.18232545,0.19482516,0.18458055,0.16128631,0.20240924,0.19931594,2.8455555
ID131,mase,0.03839958,0.08828472,0.059297603,0.045231353,0.061189417,0.025608784,0.029824905,0.013266016,0.021256702,0.017716508,1.3034129
ID132,mase,0.12717699,0.13825256,0.08489425,0.10810561,0.11558951,0.10146356,0.12674256,0.13877739,0.123988055,0.12557666,1.029176
ID133,mase,0.69276744,0.7158891,0.99178237,0.61077327,0.6881229,0.73090243,0.7074833,0.66198105,0.6773069,0.77918726,1.7207462
ID134,mase,1.5616845,1.4253039,1.3488182,1.2134358,1.3492422,1.1758006,1.5602775,1.4745136,1.7140603,1.6256526,3.1866133
ID135,mase,0.055932865,0.084274076,0.17334653,0.58874536,0.24166505,0.047731627,0.4096258,0.032015797,0.030778099,0.05076892,0.8353081
ID136,mase,0.53196704,0.63762903,0.4413829,0.57356983,0.4873534,0.51113987,0.36935696,0.5614018,0.49110505,0.56773144,0.35698783
