unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts,qgtse,SeasonalNaive
ID0,mase,0.60747504,0.629261,0.9891233,0.70815194,0.45063558,0.48625675,0.8051025,0.5830542,0.6573351,0.8100639,2.0234146
ID1,mase,1.0647147,0.9874916,0.9768419,1.1470121,0.8719563,1.0162746,0.91444397,1.0599078,1.1381795,1.2335017,1.7774295
ID10,mase,1.5641972,1.4533267,1.2806069,1.1839683,1.3813092,1.4931393,1.4285011,1.4423468,1.4521441,1.4463083,1.8304552
ID101,mase,1.507668,1.5630281,1.7286319,0.70028305,0.92252845,1.4336567,1.1974356,1.3934954,1.4888384,1.4495153,7.6812987
ID102,mase,0.56506187,0.48929775,0.73800945,0.7425252,0.5775816,0.55829024,0.60155094,0.6695091,0.4437041,0.54580224,1.6502922
ID103,mase,0.5412087,0.6598834,0.29853117,0.7464682,0.4250318,0.37629992,0.5221106,0.5857515,0.45514387,0.5523523,2.0384614
ID104,mase,0.39129663,0.58725005,0.7207857,0.4404623,0.2738168,0.4741573,0.43593714,0.39646763,0.4738834,0.37955165,3.302027
ID105,mase,0.40652448,0.31663102,0.1334914,0.33365205,0.2790775,0.29286027,0.23100537,0.18756536,0.30890942,0.34073436,1.8073021
ID107,mase,1.245443,1.3086987,1.0582697,0.8667551,1.1602265,1.3964844,1.1726037,1.4166338,1.3178556,1.3058971,2.9213116
ID108,mase,0.9204403,1.1518513,0.71486753,1.2004172,0.7110206,0.78696585,0.9233218,0.99772114,0.80361557,0.9041639,0.79044586
ID109,mase,4.56514,4.5790496,4.4044094,4.675603,4.3700757,4.539547,4.316615,4.595319,4.510185,4.645944,4.5462613
ID110,mase,0.31325677,0.41787612,0.72777784,0.6306776,1.1473455,0.32043242,0.47266722,0.32783616,0.41780385,0.19202195,0.49122807
ID111,mase,0.75594413,0.6116027,0.87899077,0.7342682,0.6196418,0.6070218,0.8933422,0.652099,0.6428511,0.587125,1.6375946
ID112,mase,0.38333148,0.39336064,0.7523949,0.8362683,0.60243237,0.3905921,0.535024,0.3805428,0.34557897,0.44216326,2.897561
ID113,mase,0.80374783,0.7427671,0.9293128,0.5295669,0.75448513,0.7616498,0.8995032,0.77892125,0.77723104,0.844857,0.9585925
ID114,mase,1.4487752,1.0918496,1.6066651,0.6045189,1.0649761,0.9060387,1.2271492,1.0379342,1.1956847,1.2659224,2.2757685
ID115,mase,1.1324341,1.4407653,0.2941265,1.737073,1.682896,1.0596962,1.4340521,1.3265847,1.3448082,1.3737266,1.4956268
ID116,mase,0.09961524,0.053870622,0.035742164,0.054728914,0.0360687,0.090206906,0.06828359,0.12232088,0.07294354,0.067970656,1.3096288
ID117,mase,0.30259058,0.28234646,0.28112313,0.30962303,0.29568627,0.26510984,0.29487768,0.28075302,0.2637603,0.25771773,1.3030236
ID118,mase,0.1504765,0.13953565,0.06526036,0.07599151,0.15878254,0.1636489,0.14190513,0.14634243,0.17225334,0.20260236,1.0729381
ID119,mase,0.7527363,0.6450331,0.67470425,0.8440738,0.58176816,0.6601602,0.7220295,0.7019533,0.6483691,0.801641,1.7068273
ID12,mase,0.05043445,0.050648652,0.05555499,0.037852738,0.06467794,0.039350647,0.04426143,0.055065148,0.039119918,0.044327073,0.11320755
ID120,mase,0.12809007,0.35844472,0.15857553,0.19752662,0.14257684,0.23597653,0.1061135,0.0975669,0.34879386,0.30796367,2.8591032
