unique_id,ds,y
NN3.001,1990-01-31,5520.0
NN3.001,1990-02-28,3940.0
NN3.001,1990-03-31,4490.0
NN3.001,1990-04-30,5030.0
NN3.001,1990-05-31,5660.0
NN3.001,1990-06-30,4790.0
NN3.001,1990-07-31,5520.0
NN3.001,1990-08-31,5560.0
NN3.001,1990-09-30,5200.0
NN3.001,1990-10-31,6670.0
NN3.001,1990-11-30,5900.0
NN3.001,1990-12-31,5280.0
NN3.001,1991-01-31,6490.0
NN3.001,1991-02-28,5560.0
NN3.001,1991-03-31,5090.0
NN3.001,1991-04-30,7090.0
NN3.001,1991-05-31,6570.0
NN3.001,1991-06-30,5890.0
NN3.001,1991-07-31,6640.0
NN3.001,1991-08-31,6360.0
NN3.001,1991-09-30,5640.0
NN3.001,1991-10-31,6630.0
NN3.001,1991-11-30,5330.0
NN3.001,1991-12-31,5540.0
NN3.001,1992-01-31,7100.0
NN3.001,1992-02-29,5410.0
NN3.001,1992-03-31,5800.0
NN3.001,1992-04-30,6110.0
NN3.001,1992-05-31,6870.0
NN3.001,1992-06-30,6560.0
NN3.001,1992-07-31,6120.0
NN3.001,1992-08-31,6540.0
NN3.001,1992-09-30,5810.0
NN3.001,1992-10-31,6300.0
NN3.001,1992-11-30,6270.0
NN3.001,1992-12-31,6900.0
NN3.001,1993-01-31,6310.0
NN3.001,1993-02-28,5330.0
NN3.001,1993-03-31,5700.0
NN3.001,1993-04-30,6680.0
NN3.001,1993-05-31,5510.0
NN3.001,1993-06-30,6690.0
NN3.001,1993-07-31,5870.0
NN3.001,1993-08-31,7140.0
NN3.001,1993-09-30,6680.0
NN3.001,1993-10-31,6520.0
NN3.001,1993-11-30,6020.0
NN3.001,1993-12-31,6190.0
NN3.001,1994-01-31,6690.0
NN3.001,1994-02-28,6330.0
NN3.001,1994-03-31,7620.0
NN3.002,1990-01-31,5080.0
NN3.002,1990-02-28,3690.0
NN3.002,1990-03-31,4260.0
NN3.002,1990-04-30,3920.0
NN3.002,1990-05-31,4290.0
NN3.002,1990-06-30,3840.0
NN3.002,1990-07-31,4830.0
NN3.002,1990-08-31,4120.0
NN3.002,1990-09-30,4530.0
NN3.002,1990-10-31,4640.0
NN3.002,1990-11-30,4510.0
NN3.002,1990-12-31,4660.0
NN3.002,1991-01-31,5340.0
NN3.002,1991-02-28,3960.0
NN3.002,1991-03-31,3680.0
NN3.002,1991-04-30,4320.0
NN3.002,1991-05-31,4420.0
NN3.002,1991-06-30,4310.0
NN3.002,1991-07-31,4410.0
NN3.002,1991-08-31,4340.0
NN3.002,1991-09-30,4010.0
NN3.002,1991-10-31,4210.0
NN3.002,1991-11-30,4330.0
NN3.002,1991-12-31,4600.0
NN3.002,1992-01-31,5140.0
NN3.002,1992-02-29,4010.0
NN3.002,1992-03-31,4440.0
NN3.002,1992-04-30,4230.0
NN3.002,1992-05-31,4160.0
NN3.002,1992-06-30,4980.0
NN3.002,1992-07-31,5130.0
NN3.002,1992-08-31,4220.0
NN3.002,1992-09-30,4520.0
NN3.002,1992-10-31,4390.0
NN3.002,1992-11-30,4420.0
NN3.002,1992-12-31,5620.0
NN3.002,1993-01-31,4510.0
NN3.002,1993-02-28,4520.0
NN3.002,1993-03-31,5120.0
NN3.002,1993-04-30,4090.0
NN3.002,1993-05-31,4000.0
NN3.002,1993-06-30,4740.0
NN3.002,1993-07-31,4360.0
NN3.002,1993-08-31,3920.0
NN3.002,1993-09-30,4610.0
NN3.002,1993-10-31,4590.0
NN3.002,1993-11-30,4140.0
NN3.002,1993-12-31,5040.0
NN3.002,1994-01-31,5860.0
NN3.002,1994-02-28,4240.0
NN3.002,1994-03-31,4230.0
NN3.003,1990-01-31,6320.0
NN3.003,1990-02-28,4770.0
NN3.003,1990-03-31,5740.0
NN3.003,1990-04-30,5360.0
NN3.003,1990-05-31,4990.0
NN3.003,1990-06-30,5330.0
NN3.003,1990-07-31,5210.0
NN3.003,1990-08-31,5470.0
NN3.003,1990-09-30,4740.0
NN3.003,1990-10-31,6280.0
NN3.003,1990-11-30,6200.0
NN3.003,1990-12-31,5640.0
NN3.003,1991-01-31,7160.0
NN3.003,1991-02-28,5530.0
NN3.003,1991-03-31,4890.0
NN3.003,1991-04-30,5660.0
NN3.003,1991-05-31,6430.0
NN3.003,1991-06-30,5270.0
NN3.003,1991-07-31,6240.0
NN3.003,1991-08-31,5220.0
NN3.003,1991-09-30,4660.0
NN3.003,1991-10-31,6110.0
NN3.003,1991-11-30,5240.0
NN3.003,1991-12-31,6680.0
NN3.003,1992-01-31,6210.0
NN3.003,1992-02-29,5320.0
NN3.003,1992-03-31,6160.0
NN3.003,1992-04-30,5230.0
NN3.003,1992-05-31,5770.0
NN3.003,1992-06-30,6100.0
NN3.003,1992-07-31,6090.0
NN3.003,1992-08-31,5810.0
NN3.003,1992-09-30,5470.0
NN3.003,1992-10-31,5780.0
NN3.003,1992-11-30,5570.0
NN3.003,1992-12-31,6660.0
NN3.003,1993-01-31,6030.0
NN3.003,1993-02-28,5600.0
NN3.003,1993-03-31,6870.0
NN3.003,1993-04-30,5190.0
NN3.003,1993-05-31,5060.0
NN3.003,1993-06-30,6690.0
NN3.003,1993-07-31,5560.0
NN3.003,1993-08-31,5900.0
NN3.003,1993-09-30,5610.0
NN3.003,1993-10-31,5420.0
NN3.003,1993-11-30,5300.0
NN3.003,1993-12-31,7040.0
NN3.003,1994-01-31,7840.0
NN3.003,1994-02-28,6640.0
NN3.003,1994-03-31,6090.0
NN3.004,1990-01-31,5500.0
