unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID0,mase,2.3038964,1.6879077,1.7800804,1.7075362,2.2531402,2.5289829,1.9159124,2.5341332,1.2356056,1.5809242,1.6003569,1.2290378,1.6523423
ID1,mase,1.0617447,1.4839077,1.4079462,0.81018955,1.6575587,1.1999519,1.0722169,1.075324,1.1672395,0.96449673,1.3040432,0.76279974,0.6560234
ID10,mase,3.6096573,2.2256336,1.1707542,2.3872795,2.7613454,1.6025912,3.1739287,1.8137406,1.6799928,3.3366272,4.570857,5.466745,0.50213987
ID100,mase,3.119604,1.8027635,1.1373177,2.2289832,5.000373,4.801969,3.6271439,3.5358214,3.0006015,2.2018404,3.0270202,2.5490475,1.322672
ID101,mase,3.70577,1.7549402,0.9316037,0.78174454,4.7888737,4.469511,3.443739,3.8637753,0.9815508,2.4062464,3.305765,3.1117923,0.85678566
ID102,mase,1.4370229,0.8515997,0.5012725,1.7703822,0.61487615,0.9054953,0.6020078,1.0540825,0.60078436,0.6848641,1.3822731,1.4243307,0.59913737
ID103,mase,0.8120186,1.0140684,0.9908515,1.3237422,0.801977,1.0639857,1.066388,1.3712877,0.9519074,0.95256275,1.0634401,0.94078827,1.0389642
ID104,mase,0.7366939,0.756307,0.8908371,0.76497895,0.8050383,0.75722843,0.8453373,0.8293252,0.7216697,0.5780206,0.7307088,0.7730316,1.5041574
ID105,mase,0.72123474,0.9835519,0.7170024,0.8578198,0.93575966,0.66961044,0.69208515,1.0334588,0.86333567,1.2873695,0.6251907,0.5797679,0.49615568
ID106,mase,0.5666884,0.48049617,0.48038507,0.48616865,0.52352643,0.57451946,0.5188855,0.6032304,0.58703166,0.47822866,0.5392591,0.56214446,0.49196902
ID107,mase,0.5730931,0.89759994,0.56724524,0.55177355,1.5086507,0.50875765,0.58057994,0.6146833,0.5786368,1.170179,0.7997996,0.47318608,0.9829676
ID108,mase,0.6853287,0.6068703,0.5164124,0.5092718,2.3041918,0.5607523,0.54777515,1.2043928,0.7999914,0.8589147,0.6049079,0.8049278,0.57120776
ID109,mase,2.2370214,1.3060486,0.7842593,0.9449861,2.036483,0.99509376,0.58767873,1.6850754,1.4015154,0.4385823,1.8968498,1.178714,0.7931279
ID11,mase,0.397987,0.5827734,0.44419402,1.0058303,1.4522865,0.6588363,0.34298518,0.28055832,0.45376915,0.7948326,0.33473206,1.3551886,1.0710356
ID110,mase,1.4529109,0.96635437,1.3971857,0.7447722,1.5343932,0.94083107,1.0199076,1.3854214,1.0962895,1.0103793,1.0900391,1.7169647,0.89296454
ID111,mase,1.0391973,0.6971348,0.71800435,1.1738807,0.8830818,0.6760359,0.637669,0.65483767,1.2512856,0.5599317,0.86343586,1.2416388,0.3119252
ID112,mase,1.1638823,1.2829379,1.3716857,1.3499798,0.7722858,2.0177667,1.7381098,1.6681359,0.7159831,0.8950487,1.3755356,1.6183344,0.60887223
ID113,mase,1.3981391,0.92389774,0.89571977,1.2953379,2.904268,0.97327685,1.9716202,1.3432347,1.4075336,0.8214087,1.598089,0.663041,0.6879804
ID114,mase,1.0744911,1.1803399,1.4669932,0.5944879,1.2986262,1.0364752,1.4828355,1.4635285,0.9354891,1.3266314,1.0241982,1.1052512,0.60522294
ID115,mase,3.4951458,1.5881659,1.2694199,1.9472204,2.9545233,1.4197932,1.2605897,1.5298144,3.720604,1.4111947,2.3051956,2.4180567,0.9737069
ID116,mase,0.6993465,0.6210535,0.6248413,0.31260723,1.672192,0.58503634,0.3593995,0.7559866,0.77338356,1.1831738,1.0945163,0.5665288,0.4190104
ID117,mase,0.35852528,0.24746442,0.40890256,0.3993998,0.6828822,0.5385859,0.4594734,0.36317047,0.67127866,0.34481135,0.3068839,0.38982,0.17705764
ID118,mase,1.1222391,0.5170808,0.511493,0.75894284,0.2626108,1.0665613,0.20583674,0.2515181,0.519074,0.24112074,0.34782636,1.0911609,0.756469
