unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(25),qgtse(50),SeasonalNaive
ID1,mase,0.31173292,0.38744614,0.31950587,0.25814834,0.3133932,0.35184273,0.24295671,0.3675137,0.3226753,0.31662267,1.3309436
ID10,mase,1.1501428,1.0706719,1.2964801,1.1899232,1.0552808,1.0272915,1.126128,1.1374286,1.1590416,1.1940714,2.1313908
ID100,mase,0.52105427,0.4931401,0.5183516,0.47113755,0.45809302,0.47132465,0.61799514,0.46764895,0.51322275,0.58163124,0.6221448
ID101,mase,0.56691515,0.5825931,0.6297963,1.1073527,0.99373287,0.59831345,0.57964265,0.6036076,0.6200089,0.58167297,0.89518845
ID102,mase,0.84973687,0.9690789,1.0160613,0.9332879,0.814898,0.96228623,1.0388784,0.8874598,0.89327526,1.0176725,1.1054027
ID103,mase,0.6346383,0.50820583,0.605359,0.5968873,0.4491931,0.57888305,0.61612403,0.6158084,0.6397597,0.5894906,0.7836867
ID104,mase,0.9311994,0.81091547,0.8186917,0.9930101,0.68394554,0.72601193,0.82147247,0.97922873,0.769785,0.802304,1.0984397
ID105,mase,0.87100536,0.75972486,0.7906321,0.92219394,0.6185322,0.6612474,0.780409,0.9333485,0.7501477,0.7495149,0.99127084
ID106,mase,0.33488336,0.37064296,0.31195042,0.38497585,0.38076392,0.38038117,0.38225248,0.38560992,0.3435577,0.3233651,0.4424203
ID107,mase,1.0027666,0.78103596,0.84061563,0.93134916,0.88357586,0.8868411,0.8326284,1.0411783,0.88097644,1.0303401,1.1263956
ID109,mase,1.1439228,1.1047642,0.99246264,1.0516142,1.1649241,1.1154593,1.1420956,1.1698121,1.1452309,1.1181915,1.3157855
ID11,mase,0.8199796,0.8947734,0.84653616,0.89014614,0.9020394,0.9062667,0.7985506,0.8234393,0.90622574,0.93177414,1.0275849
ID110,mase,1.2509552,1.2050818,0.8896144,0.9239443,1.1116655,0.9320471,1.1656202,0.95749646,1.1199583,1.166342,1.0465004
ID111,mase,2.529023,2.349395,2.4995203,2.14889,2.3268263,2.5467582,2.5382757,2.5056248,2.5738213,2.7535443,3.4543633
ID112,mase,0.798857,0.7538835,0.6224158,0.8514612,0.64468974,0.62818146,0.636566,0.62506044,0.675533,0.64635605,1.8122567
ID113,mase,0.6275931,0.6247543,0.49128625,0.7204278,0.47537538,0.48826534,0.5744633,0.49141824,0.54654926,0.51249164,1.6487256
ID114,mase,0.71147376,0.8077444,0.81885177,0.9171041,0.70293814,0.7465937,0.82319915,0.7204284,0.696595,0.7221102,2.682198
ID115,mase,0.29775095,0.27343166,0.23889045,0.2542679,0.2609392,0.2719049,0.28993624,0.26247683,0.28091648,0.27593216,0.6967881
ID116,mase,0.6438262,0.77520394,0.65616935,0.91220206,0.74659365,0.7285922,0.9169444,0.62423825,0.7846571,0.70572346,0.56888604
ID117,mase,1.3066423,1.3018112,1.1671926,1.1231749,1.2571734,1.394471,1.3857839,1.2112354,1.1954795,1.1714382,1.1275458
ID118,mase,0.4944935,0.52566195,0.5650764,0.5521021,0.4400673,0.6706828,0.67535263,0.559136,0.44573182,0.4609813,3.9492388
ID119,mase,0.6309784,0.60617125,0.5228894,0.7970995,0.4989212,0.48915222,0.6220272,0.4940837,0.5136866,0.47539082,2.0553684
ID12,mase,0.9234834,0.7921945,0.8413102,0.85925204,0.91374284,0.7666024,0.98148876,0.7975404,0.84821624,0.87628263,0.9054125
ID120,mase,0.27758875,0.24524656,0.26456717,0.3184894,0.3153897,0.24474354,0.2712959,0.24819173,0.2558766,0.26131794,0.32082865
ID121,mase,0.3573797,0.3988921,0.4517968,0.43588966,0.26605752,0.3110114,0.33751747,0.30526936,0.32875088,0.33282277,1.612157
ID122,mase,0.404759,0.5355704,0.4424212,0.66389656,0.44034562,0.5318194,0.52375966,0.4382892,0.4038544,0.40795898,0.72865075
ID123,mase,0.3573797,0.3988921,0.4517968,0.43588966,0.26605752,0.3110114,0.33751747,0.30526936,0.32875088,0.33282277,1.612157
ID124,mase,0.3362918,0.36598772,0.47331494,0.44144267,0.38996288,0.40716845,0.3975254,0.34957692,0.34250194,0.31134054,2.326119
ID125,mase,0.9424125,0.8950303,0.6905614,0.914781,0.77691597,0.81449807,0.8345243,0.69482815,0.8361435,0.77660304,0.9395154
ID126,mase,0.2756428,0.489326,0.30742776,0.62185645,0.3373028,0.49412954,0.36410666,0.42938226,0.27407253,0.26529813,0.69265115
ID127,mase,0.6758204,0.62900615,0.7140033,0.74974334,0.45774016,0.6410908,0.6730057,0.57470286,0.6520509,0.5976244,0.69674885
ID128,mase,0.3598637,0.3394352,0.39423972,0.40032548,0.25944945,0.32735905,0.3352137,0.25067466,0.33892146,0.3538879,1.115829
ID129,mase,0.41805872,0.38868305,0.2852585,0.31061912,0.31254616,0.37247425,0.36736956,0.3481834,0.4127032,0.4200103,0.47546273
ID13,mase,3.5412154,3.5021331,3.4403539,3.1995716,3.782122,3.1701324,3.1753888,3.6486719,3.4107916,3.5207338,2.4192407
ID130,mase,0.47120807,0.47419545,0.43914026,0.7407789,0.3609826,0.40747997,0.4280383,0.44817856,0.43503252,0.38725036,1.0970273
ID131,mase,0.70021194,0.6156758,0.9385915,0.7819841,0.8266753,0.7883684,0.7826288,0.7793245,0.76767236,0.83239114,1.8247001
ID135,mase,1.0894399,2.0047705,1.7910584,1.4977081,1.3415599,2.4418845,1.629674,1.4558432,1.9250168,1.2067217,3.0528395
ID136,mase,0.80310977,0.75117344,0.82618505,0.6725364,1.1723413,0.8257272,0.7933758,0.86700857,0.7888622,0.8353672,0.9531713
ID137,mase,1.610215,1.6815802,1.506715,1.5324221,1.4606888,1.3981909,1.5003886,1.4578042,1.6431586,1.5680073,0.60115093
ID138,mase,0.6560519,0.8031892,0.8553053,0.9446838,0.6904517,0.72526646,0.6362382,0.86349756,0.74031734,0.78783697,1.3264941
