unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(25),qgtse(50),SeasonalNaive
ID1,mase,0.30972767,0.2686619,0.28041902,0.21665998,0.24714826,0.39726064,0.25224426,0.31881326,0.4232607,0.42788413,1.3309436
ID10,mase,1.2685609,1.2563521,1.314721,1.2537385,1.3758382,1.206602,1.3808855,1.3314884,1.1030236,1.1860466,2.1313908
ID100,mase,0.47933307,0.5529644,0.58001435,0.5356951,0.4368138,0.5742399,0.45909244,0.58466285,0.6645652,0.56936556,0.6221448
ID101,mase,0.510888,0.53216517,0.5573034,0.76917845,0.68945795,0.63630134,0.53983617,0.41134986,0.5552839,0.5717942,0.89518845
ID102,mase,0.85217535,1.0190976,0.87077135,0.8741288,1.167205,0.8801012,0.7371695,0.97654974,0.89800596,0.970494,1.1054027
ID103,mase,0.5785905,0.5935324,0.58297455,0.5227935,0.42049783,0.53603107,0.58222854,0.5499274,0.5221957,0.5556398,0.7836867
ID104,mase,0.93277085,0.8431511,0.84282106,0.8832192,0.8880557,0.843248,0.93199694,0.87040967,0.8531548,0.93746555,1.0984397
ID105,mase,0.88693976,0.8136436,0.7943157,0.8181443,0.8419664,0.7759567,0.7923225,0.83673775,0.78115493,0.8726057,0.99127084
ID106,mase,0.32785332,0.35030517,0.21973613,0.27633584,0.36745554,0.4075304,0.36235383,0.35840017,0.30983588,0.33454213,0.4424203
ID107,mase,1.1272309,1.1857358,0.95235884,0.9708403,1.0715508,0.9438284,0.97068095,1.0927392,1.0617043,1.1315433,1.1263956
ID109,mase,1.2086508,1.2665685,1.114391,1.2308114,1.4990847,1.3157446,1.1605737,1.2653632,1.1838589,1.1031842,1.3157855
ID11,mase,0.87399316,0.8661087,0.8857772,0.85681653,0.85368854,0.9596236,0.7768906,0.8540383,0.987838,1.0113523,1.0275849
ID110,mase,1.0908797,1.1988641,1.0952688,0.82107997,0.95778275,1.304527,1.2246275,1.1247792,1.2905867,1.454556,1.0465004
ID111,mase,2.804665,2.6246886,2.6983726,2.2763057,2.5726995,2.5101733,2.9088445,2.7412155,2.7904863,2.6210976,3.4543633
ID112,mase,0.5933708,0.8123152,0.59142107,0.61952543,0.6656564,0.7328321,0.4543138,0.48887056,0.6908251,0.79469,1.8122567
ID113,mase,0.4648598,0.6696151,0.48542294,0.5203071,0.5315355,0.6326329,0.36461854,0.38086107,0.56136084,0.6722994,1.6487256
ID114,mase,0.76847994,0.82764924,0.7758404,0.8354406,0.77552557,0.7494754,0.6770871,0.6728622,0.71901476,0.7609958,2.682198
ID115,mase,0.29080164,0.28689498,0.2502679,0.2474285,0.27873057,0.2928042,0.23387724,0.25643224,0.3134108,0.32359558,0.6967881
ID116,mase,0.580374,0.78249574,0.6925685,0.7414711,0.6316927,0.8246433,0.76305914,0.7611907,0.7497174,0.7792629,0.56888604
ID117,mase,1.0529612,1.1748862,1.0255127,1.2137891,1.1509964,1.4445504,1.2596223,1.0855309,1.1013355,1.2656353,1.1275458
ID118,mase,0.6712577,0.75774693,0.61282307,0.5515796,0.55201757,0.684012,0.45014518,0.53729624,0.6525433,0.64040434,3.9492388
ID119,mase,0.51743674,0.68757844,0.5521041,0.611262,0.5488461,0.6548839,0.4213788,0.41302106,0.5715381,0.6521107,2.0553684
ID12,mase,0.9241845,0.9367525,0.9255822,0.8307035,1.2469074,0.89630175,0.7821093,0.9087712,0.94083554,0.9041283,0.9054125
ID120,mase,0.27440405,0.22087057,0.22689836,0.21142232,0.22857223,0.22801319,0.21684802,0.20092808,0.25585485,0.31417626,0.32082865
ID121,mase,0.42067486,0.4976243,0.35152087,0.37097958,0.40036717,0.40247905,0.24530283,0.2640102,0.43460196,0.4938364,1.612157
ID122,mase,0.393774,0.45031336,0.3746323,0.5573066,0.44243068,0.48057473,0.37420192,0.42213106,0.46458197,0.61562264,0.72865075
ID123,mase,0.42067486,0.4976243,0.35152087,0.37097958,0.40036717,0.40247905,0.24530283,0.2640102,0.43460196,0.4938364,1.612157
ID124,mase,0.34281045,0.3493247,0.34661907,0.43492582,0.3035778,0.34372514,0.3263511,0.33220175,0.26945913,0.2973347,2.326119
ID125,mase,0.64970374,0.89013785,0.676098,0.761556,0.8471656,0.9180392,0.67148507,0.61750484,0.82129264,0.87191397,0.9395154
ID126,mase,0.31952164,0.33316156,0.3405246,0.27579618,0.2597997,0.31947914,0.3950184,0.25942072,0.34538612,0.29885086,0.69265115
ID127,mase,0.6169461,0.5929519,0.6814711,0.6832491,0.5032713,0.67577696,0.64811057,0.57645583,0.64870834,0.62311774,0.69674885
ID128,mase,0.38647318,0.45040005,0.37958142,0.32196155,0.37035164,0.38446587,0.32639238,0.30082688,0.41463318,0.4812841,1.115829
ID129,mase,0.4322097,0.4004622,0.3525236,0.28983143,0.3685082,0.4126068,0.25701138,0.33467707,0.46311492,0.5549605,0.47546273
ID13,mase,3.1140475,3.2481647,3.0848057,3.076221,3.7564104,2.9980843,3.5139081,2.9153123,3.2589912,2.9343424,2.4192407
ID130,mase,0.37974823,0.3506257,0.44697773,0.4671715,0.27178484,0.39336786,0.41472644,0.45969334,0.40775207,0.49269283,1.0970273
ID131,mase,0.8228887,0.73389864,0.8655611,0.93296343,0.82721627,0.6793148,1.0464798,0.76807845,0.7387558,0.8815771,1.8247001
ID135,mase,0.92586553,0.862976,1.0285643,0.863933,1.13815,0.8004234,1.209506,0.77584064,0.89100355,1.1524568,3.0528395
ID136,mase,0.7570213,0.7969611,0.79770094,0.63835275,0.8134904,0.7678215,0.7621101,0.91336983,0.81869817,0.8055472,0.9531713
ID137,mase,2.0263116,1.7514243,1.609986,1.5939064,1.5365386,1.6596912,1.6335588,1.9054426,1.7138557,1.6604292,0.60115093
ID138,mase,0.71592695,0.775353,0.60854894,0.5232702,0.62783617,0.60558516,0.52518034,0.7186466,0.6009277,0.6462198,1.3264941
ID139,mase,0.75244725,0.6589492,0.67710865,0.58423936,0.8036643,0.6760058,0.77694434,0.71555257,0.7367379,0.70561934,0.88450754
ID14,mase,1.9837495,2.1175241,1.8485705,1.7939906,1.9059107,2.2262747,1.9734023,2.0813339,2.0540109,2.2444258,3.4552643
ID140,mase,2.1809216,2.239566,1.8745804,1.8980793,1.9419687,2.1226406,1.8891014,2.3778427,2.2726092,2.1756175,1.5312324
ID141,mase,0.7418377,0.6596311,0.7053264,0.67024785,0.59924567,0.48546714,0.8549125,0.49389207,0.5661929,0.59590966,1.2757688
ID142,mase,0.55719435,0.61362654,0.5926154,0.5182054,0.56876063,0.5402533,0.5792067,0.60039824,0.60716087,0.5765936,0.69485575
ID143,mase,1.4526792,1.2912992,1.2626948,0.95466995,0.9705164,1.1944151,1.1624763,1.1414868,1.3826579,1.5189072,1.1728123
ID144,mase,0.9240923,0.7839775,0.7707357,0.8637974,1.2063742,0.70412225,0.9631778,0.7073332,0.65697455,0.89432263,2.8657637
ID145,mase,1.4020423,1.4199518,1.3050113,1.6767914,1.4458975,1.4614754,1.6213932,1.4193537,1.4652858,1.4724777,1.3393744
ID146,mase,1.0294948,1.0570422,0.93023753,0.9578895,1.2243344,1.0189011,0.94925296,0.99906427,1.0587837,1.049705,1.3084279
ID148,mase,0.5526557,0.57945466,0.600075,0.4660387,0.57628804,0.6522819,0.60004926,0.5846441,0.59530437,0.5811952,1.3203704
ID149,mase,0.8747846,0.7551095,0.8135852,0.829594,0.78034866,0.8104683,0.79285246,0.8640531,0.8086895,0.78362185,1.5996094
ID15,mase,0.4638186,0.37912306,0.34989497,0.32265612,0.33631817,0.3530993,0.3670126,0.40645498,0.4514248,0.42450836,0.6028308
ID150,mase,0.78316396,0.75494224,0.73786324,0.5224064,0.769338,0.75296795,0.62002623,0.79845196,0.7498185,0.78247726,0.83690864
ID151,mase,1.2403576,1.2593819,1.2400649,1.3669869,1.9936641,1.7786599,1.1971006,1.4466286,1.4110932,1.4293703,1.1294643
ID152,mase,0.67130435,0.6513888,0.86835504,0.9309144,0.6592853,0.6785526,0.95646656,0.56752205,0.7258818,0.65365595,0.8533367
ID153,mase,0.76381415,0.8388807,0.73217106,0.6269159,0.73526984,0.7470153,0.6315057,0.806966,0.677502,0.6770943,0.9006949
ID154,mase,0.13116783,0.13209999,0.14972554,0.36217138,0.28179234,0.16110462,0.107971214,0.19738199,0.13359885,0.123526916,1.3824303
ID155,mase,0.19245937,0.18512191,0.2749353,0.19660878,0.20083827,0.20438752,0.18665615,0.20867153,0.21658328,0.19840562,0.46743193
ID156,mase,0.5705073,0.6694826,0.620608,1.0794477,0.86485213,0.7900139,0.87293917,0.7168604,0.7183093,0.6786793,1.9656224
ID157,mase,0.7752578,0.7876896,0.8184209,0.45234248,0.5412559,0.6786685,0.68683296,0.8071594,0.5887061,0.61979216,1.4077095
ID158,mase,0.45602566,0.45879614,0.45011872,0.45082748,0.41923794,0.41633004,0.5782484,0.44159895,0.45427197,0.45594364,1.3308413
ID159,mase,1.0268718,1.0307406,0.92136294,0.9311119,0.9897553,1.0211908,0.91604084,0.9999152,1.0680877,1.0955365,0.52017
ID16,mase,0.90947294,0.8723542,0.82541794,0.9238177,1.1203772,0.72014475,0.99798197,0.8059468,0.6963536,0.7484663,0.8226528
ID160,mase,0.5664812,0.7072579,0.7926883,1.335,0.7583623,0.6865124,0.8850768,0.8575581,0.5327313,0.59674895,1.7099007
ID161,mase,0.99098086,1.0234418,0.96861947,0.92361224,0.95555925,0.91817564,0.9602405,0.953997,0.9715863,0.9483588,1.1637948
