unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,derived,derived_ensemble,QGTS,QGTSE,SeasonalNaive
ID1,mase,0.42695796,0.27070016,0.29707626,0.2475822,0.43331552,0.36447695,0.47448912,0.39239395,0.28887302,0.37649497,0.37079585,0.439481,1.3309436
ID10,mase,1.1795156,1.3154215,1.3410515,1.3545115,1.2827679,1.202051,1.1378326,1.3094128,1.367397,1.0103638,1.230039,1.2118533,2.1313908
ID100,mase,0.5459397,0.5774553,0.56771845,0.4818125,0.49415982,0.5502261,0.6342498,0.56466234,0.47758552,0.39852887,0.4594885,0.6625583,0.6221448
ID101,mase,0.6757739,0.6126332,0.6326037,0.74762577,1.5384506,0.5115896,0.5638098,0.67038226,0.91361505,0.63723,0.58599395,0.6859294,0.89518845
ID102,mase,0.86789674,1.0421323,1.0483944,0.8377074,0.9908945,1.179858,0.98772216,0.9717446,1.1103872,0.8150099,0.7339466,1.0467687,1.1054027
ID103,mase,0.687103,0.73130786,0.6576016,0.5429623,0.6333613,0.6739097,0.67838603,0.66592973,0.64313203,0.6398389,0.69583017,0.6060355,0.7836867
ID104,mase,0.8260273,0.82252544,0.84695274,0.8294563,0.8130209,0.7767598,0.85922253,1.0092567,0.8790451,0.93051594,0.95063686,0.82519263,1.0984397
ID105,mase,0.7583733,0.7595138,0.7968965,0.7880485,0.7699561,0.708916,0.86891645,0.96006763,0.9586295,0.85888433,0.90411174,0.80292034,0.99127084
ID106,mase,0.3424141,0.3466172,0.28842142,0.28688997,0.38222006,0.37705225,0.35787877,0.37237722,0.34768817,0.29179505,0.32742712,0.336678,0.4424203
ID107,mase,0.9851827,0.9625888,0.90041584,0.9073692,1.0075475,0.8592875,0.975444,1.1461791,1.0304798,0.91445714,0.9897156,0.9475137,1.1263956
ID109,mase,1.1451863,1.1131922,1.1167175,1.2360837,1.3043687,1.0908828,1.1786904,1.1007439,1.1737033,1.2408369,1.1387774,1.1429368,1.3157855
ID11,mase,0.94824487,0.88330567,0.8015502,0.8499379,0.9420231,0.9285612,0.8821687,0.92482007,0.87214863,0.9147101,0.9005975,0.9234591,1.0275849
ID110,mase,1.143129,1.4508071,1.0592713,1.2473708,1.205651,1.2972609,1.1610118,1.5042017,1.3012711,1.050953,1.3618557,1.4464896,1.0465004
ID111,mase,2.691212,2.7262309,2.880146,2.2244267,2.9383328,2.677537,2.2107818,2.8800611,2.2161386,2.6862934,2.798645,2.7462704,3.4543633
ID112,mase,0.7773065,0.87167853,0.71559286,0.84481233,0.76518565,0.61056274,0.6963223,0.7616664,0.6805355,0.56555825,0.6697935,0.6198078,1.8122567
ID113,mase,0.65482634,0.7460759,0.54863316,0.65212965,0.5907219,0.52175045,0.5838326,0.6415439,0.57654315,0.4919306,0.54492337,0.49346894,1.6487256
ID114,mase,0.7740473,0.85609716,0.82669514,0.9603704,0.8273471,0.7018122,0.8495409,0.6949478,0.847765,0.71809065,0.79233503,0.7719419,2.682198
ID115,mase,0.33075964,0.2868957,0.25355524,0.22356686,0.25509775,0.27171883,0.28096566,0.29639748,0.26802516,0.2739921,0.29622093,0.2888072,0.6967881
ID116,mase,0.78647965,0.78848195,0.7758189,0.65820223,0.800759,0.8763092,0.90627646,0.8018575,0.7787482,0.78136265,0.7292257,0.6964115,0.56888604
ID117,mase,1.620976,1.283185,1.1896272,1.0286179,1.1736753,1.5573956,1.3618827,1.198197,1.0171957,1.1725644,1.0682422,1.1129799,1.1275458
ID118,mase,0.5122807,0.908921,1.0617675,0.5393273,0.62059635,0.53583276,0.73743844,0.88875943,0.5326929,0.50816494,0.6710273,0.6303307,3.9492388
ID119,mase,0.5856893,0.7404809,0.54684305,0.6684974,0.5892614,0.46195793,0.54288626,0.61698043,0.67617464,0.4975796,0.5374623,0.52058506,2.0553684
ID12,mase,0.8327729,0.8239948,0.83280814,1.0379786,0.90389556,0.80032766,0.829571,0.90093994,0.9440762,0.80828,0.9433018,1.0518711,0.9054125
ID120,mase,0.28066355,0.2094978,0.25004646,0.22261201,0.27487886,0.28335184,0.2627303,0.2742003,0.2783126,0.2725765,0.30795965,0.28132197,0.32082865
ID121,mase,0.5470826,0.3973892,0.379722,0.43709517,0.34149542,0.30458474,0.47159058,0.45429558,0.38884294,0.35983232,0.413473,0.39217055,1.612157
ID122,mase,0.48493886,0.49012473,0.45376924,0.38021195,0.3603482,0.42608204,0.44572318,0.46768552,0.4100153,0.5015815,0.48387066,0.40414655,0.72865075
ID123,mase,0.5470826,0.3973892,0.379722,0.43709517,0.34149542,0.30458474,0.47159058,0.45429558,0.38884294,0.35983232,0.413473,0.39217055,1.612157
ID124,mase,0.28087622,0.4275429,0.4005165,0.40481174,0.29825974,0.23628588,0.32027477,0.27673554,0.4355646,0.33910847,0.33189374,0.35526267,2.326119
ID125,mase,0.8595088,0.888491,0.7267907,0.7496743,0.8473628,0.6717288,0.79732406,0.9610532,0.80109596,0.9457871,0.8032749,0.7489843,0.9395154
ID126,mase,0.29492906,0.27805376,0.2815074,0.29909587,0.2986153,0.34119427,0.35253346,0.34773275,0.31743586,0.30408946,0.32233816,0.29240888,0.69265115
ID127,mase,0.768685,0.6486743,0.75688964,0.66298985,0.6519265,0.6968102,0.6276772,0.6781946,0.6766521,0.74988407,0.7039758,0.581876,0.69674885
ID128,mase,0.5114992,0.41064548,0.36144596,0.37717628,0.42027572,0.38368723,0.42691398,0.47630647,0.4123138,0.3747715,0.41204506,0.42774057,1.115829
ID129,mase,0.50926054,0.40640187,0.37498546,0.3228195,0.34766814,0.42193353,0.3976704,0.46532604,0.41468498,0.4645782,0.42986327,0.43861958,0.47546273
ID13,mase,3.3508458,3.3742237,3.5534835,3.506611,3.959033,3.262328,3.5967464,3.7729118,3.7790027,3.7153578,3.3231304,3.7469769,2.4192407
ID130,mase,0.52787745,0.49352342,0.5663922,0.5917787,0.33256167,0.5433179,0.49793303,0.37142998,0.46884206,0.2119246,0.49777853,0.41703323,1.0970273
ID131,mase,0.7770602,0.7866697,0.89556885,1.0319159,0.79947335,0.8761743,0.74732494,0.87979877,0.8219677,0.89592767,0.9378565,0.83748436,1.8247001
ID135,mase,1.4236249,0.9055035,1.2826941,0.48679984,0.8562069,1.0010118,1.5490546,1.0021853,1.1065321,1.3127837,1.2404984,0.73639536,3.0528395
ID136,mase,0.82261723,0.79646176,0.8005207,0.707949,0.86612606,0.8308957,0.77257735,0.8791335,0.867769,0.7121106,0.72645205,0.76775855,0.9531713
ID137,mase,1.6223539,1.6324753,1.6081799,1.6003578,1.7889553,1.659738,1.8807101,1.5728137,1.816934,1.6720685,1.5688682,1.6335033,0.60115093
ID138,mase,0.73248386,0.6232056,0.64947325,0.7994538,0.6413906,0.711446,0.58352315,0.79686993,0.7134884,0.63429326,0.60836595,0.63733715,1.3264941
ID139,mase,0.62132466,0.5229008,0.57419825,0.60574514,0.5565746,0.62251055,0.6319486,0.73503876,0.57875603,0.6592515,0.71842146,0.68314797,0.88450754
ID14,mase,2.179505,2.2308257,1.8932813,1.8830191,2.1495485,2.129284,2.2262785,2.1692445,1.8447319,1.8543684,2.0295775,2.1565852,3.4552643
ID140,mase,1.9522172,2.0305238,1.9094775,1.701866,2.1014225,2.1257823,3.1796126,2.024953,1.7720755,2.0285087,1.7815067,1.9863179,1.5312324
ID141,mase,0.71189713,0.6144244,0.7470286,0.80706716,0.7014105,0.678177,0.59935784,0.77739936,0.7695727,0.51804763,0.77465045,0.84467524,1.2757688
ID142,mase,0.6101428,0.59038186,0.6438568,0.5391295,0.63768727,0.62224257,0.623368,0.6362895,0.5882595,0.56460804,0.5648311,0.5734987,0.69485575
ID143,mase,1.3790518,1.327468,1.2238194,1.0279839,0.97972184,1.2151859,1.2426889,1.1600409,0.93014324,0.94054383,1.237667,1.2506825,1.1728123
ID144,mase,0.8326874,0.5108336,0.79637754,0.8440641,0.98541915,0.6635669,0.89349604,0.5860485,1.2423851,0.8760472,0.83160454,0.63115674,2.8657637
ID145,mase,1.5165488,1.4804158,1.4972942,1.6492904,1.6449533,1.5565219,1.4100677,1.5224148,1.5273445,1.5927902,1.4837588,1.3945841,1.3393744
ID146,mase,0.9867977,0.89046985,0.82304263,0.873256,1.0811149,0.9636744,0.8895012,0.93356246,0.87864673,0.83565015,0.9989391,0.9989219,1.3084279
ID148,mase,0.5119464,0.56945264,0.490932,0.6331888,0.4490817,0.65238726,0.5203984,0.66560197,0.44212472,0.48003188,0.64952487,0.5629427,1.3203704
ID149,mase,0.7220872,0.79940397,0.7428809,0.8373458,0.8885316,0.6437423,0.7540902,0.71052974,0.7914829,0.7437714,0.74284154,0.7339037,1.5996094
ID15,mase,0.46788964,0.4664346,0.38028672,0.32743964,0.50908446,0.7616323,0.49084735,0.3875626,0.3540643,0.36893535,0.36486217,0.5540093,0.6028308
ID150,mase,0.8203898,0.79130155,0.67242736,0.51127785,0.7940486,0.7966611,0.8242808,0.73831075,0.5069029,0.52233243,0.75751513,0.7769894,0.83690864
ID151,mase,1.3000664,1.2366681,1.2304479,1.2218399,1.6502037,1.3988608,1.4531145,1.1499757,1.2819648,1.391937,1.2734197,1.1146712,1.1294643
ID152,mase,0.70886964,0.6910094,0.8673739,0.99913764,0.780794,0.81969124,0.7638063,0.71474195,0.81878173,0.8985117,0.77026373,0.72566086,0.8533367
ID153,mase,0.7785273,0.7615911,0.81837744,0.77780294,0.79093677,0.72843117,0.56015193,0.84124136,0.714542,0.74713635,0.7325277,0.7144106,0.9006949
ID154,mase,0.108723536,0.14088833,0.1431106,0.3239958,0.22126718,0.10532586,0.13644114,0.14882208,0.19896716,0.24675155,0.12820324,0.1288881,1.3824303
ID155,mase,0.18780136,0.2583227,0.28501052,0.19782451,0.22452891,0.2104971,0.16665775,0.24867474,0.1979445,0.22274995,0.29157558,0.2207708,0.46743193
ID156,mase,0.70289236,0.7293437,0.74412096,1.1669562,0.8068733,0.9244165,0.7194691,0.86720127,0.9654233,1.1962293,0.7828417,0.7544906,1.9656224
ID157,mase,0.6438972,0.75463736,0.8038267,0.43217006,0.35951006,0.84434676,0.64939976,0.77233225,0.3905666,0.4710934,0.7305711,0.7274555,1.4077095
ID158,mase,0.42548737,0.41321802,0.44221932,0.45631427,0.39237598,0.4485774,0.45725727,0.43452725,0.5505562,0.5019305,0.43919128,0.47610667,1.3308413
ID159,mase,1.0926188,1.0614184,0.9708248,0.88793653,1.0352271,1.0660504,1.0577385,1.0695609,0.9802356,0.9208828,1.0258616,1.0411849,0.52017
ID16,mase,0.8773661,0.8554051,0.9057077,0.9143298,0.9259252,0.7283965,0.9016484,0.91988724,0.9107958,1.030922,0.7369819,0.7681408,0.8226528
ID160,mase,0.7422484,0.66511613,0.8479025,1.4115397,0.88849366,0.81343275,0.9539829,0.6515647,1.107522,0.9289663,0.579418,0.6076402,1.7099007
