unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(25),qgtse(50),SeasonalNaive
ID0,mase,0.66268516,0.6369313,0.7676961,0.6203812,0.45604768,0.6587297,0.600095,0.7862554,0.7524543,0.80366063,2.0234146
ID1,mase,1.0568618,1.1385521,1.2355667,1.3695788,0.8837722,1.1223891,0.5376454,1.1462759,1.2414069,1.1121204,1.7774295
ID10,mase,1.4595621,1.3938509,1.2636178,1.2137618,1.3798445,1.2701298,1.2486043,1.3066877,1.4472979,1.4349537,1.8304552
ID101,mase,1.4386941,1.6694599,1.9692432,0.98562676,0.84975034,1.3763577,1.2393525,1.2155544,1.2744179,1.3132619,7.6812987
ID102,mase,0.65504044,0.5382823,0.8098777,0.79989296,0.72809035,0.5849413,0.528956,0.5989159,0.51351386,0.57037735,1.6502922
ID103,mase,0.6262236,0.44838187,0.35696998,0.7968286,0.31133682,0.5021274,0.6597501,0.5234058,0.74006474,0.7302234,2.0384614
ID104,mase,0.2893515,0.4086669,0.6381689,0.4936933,0.33682188,0.340959,0.34587392,0.35998058,0.32313946,0.36221033,3.302027
ID105,mase,0.26289636,0.23695202,0.13366105,0.3349348,0.09961067,0.2000779,0.3929473,0.26714826,0.5127997,0.41903034,1.8073021
ID107,mase,1.3139194,1.1253467,1.1174406,0.80886614,1.1303108,1.3418616,1.421567,1.3785163,1.4941537,1.5125918,2.9213116
ID108,mase,0.90387416,0.96387506,0.7222219,1.0368315,0.6982612,0.8382409,0.77761877,0.8757499,1.0441341,0.8997217,0.79044586
ID109,mase,4.602646,4.6071243,4.502661,4.6530566,4.4407578,4.479408,4.3172297,4.5739455,4.695795,4.570414,4.5462613
ID110,mase,0.21682525,0.11892914,0.7345263,0.5402369,0.4451393,0.39642844,0.33565614,0.6459832,0.55392134,0.5438669,0.49122807
ID111,mase,0.8389155,0.6429569,0.9374523,0.68177676,0.8135656,0.56035423,0.75729084,0.60519236,0.62073183,0.559663,1.6375946
ID112,mase,0.39588884,0.49485824,0.6109092,0.8887406,0.6382539,0.3345731,0.37899938,0.35579062,0.27461585,0.2546604,2.897561
ID113,mase,0.8015392,0.8000765,0.8794071,0.44588074,0.7318482,0.58645254,0.66522056,0.7101567,0.7992219,0.8269102,0.9585925
ID114,mase,1.424687,1.3266927,1.6712391,0.49964255,1.2019144,1.0410867,0.9940151,1.1946608,1.1720366,1.2016633,2.2757685
ID115,mase,1.2271444,1.3677245,0.53822,1.4251806,1.5861859,1.5145915,1.5804409,1.4650989,1.3424804,1.4550275,1.4956268
ID116,mase,0.10941475,0.038948573,0.063038595,0.056891087,0.044855714,0.07775316,0.10236473,0.11361664,0.15501651,0.16338627,1.3096288
ID117,mase,0.27184048,0.29776278,0.28060022,0.3107505,0.29591498,0.27820197,0.27523714,0.2610147,0.2642595,0.26430127,1.3030236
ID118,mase,0.1620456,0.11316666,0.07458096,0.09807401,0.16705148,0.17708099,0.2018128,0.19177927,0.22189198,0.21737161,1.0729381
ID119,mase,0.7078071,0.6138813,0.62180865,0.8695449,0.635514,0.6744783,0.78003514,0.7279484,0.82075894,0.79430884,1.7068273
ID12,mase,0.04483098,0.046992466,0.051264595,0.042656172,0.053043827,0.0468713,0.042581152,0.049348652,0.043766897,0.041661676,0.11320755
ID120,mase,0.25814018,0.13417403,0.02157171,0.27966583,0.16064447,0.31887516,0.34564018,0.3146689,0.42258888,0.4384647,2.8591032
ID121,mase,0.4454516,0.41919822,0.41955584,0.44332942,0.46191862,0.41155517,0.40258715,0.4154245,0.40668994,0.3994964,0.43619797
ID122,mase,0.3894967,0.43366906,0.44965196,0.35609162,0.45580855,0.4228238,0.36635977,0.4078144,0.3570819,0.36893895,1.1764195
ID123,mase,0.59354615,0.47770002,0.42785212,0.25266775,0.46830016,0.62006336,0.6752255,0.63833153,0.72508323,0.73100674,2.0938842
ID124,mase,0.3424741,0.32191417,0.34838107,0.23238784,0.33874515,0.32271966,0.38135445,0.3444808,0.3842685,0.36903444,0.602953
ID125,mase,0.49953124,0.6835127,0.44073555,0.8414824,0.49046853,0.6647705,0.66751873,0.6284296,0.87173015,0.5485658,0.16764669
ID126,mase,1.5670599,1.5249947,1.788189,1.5017256,1.5151935,1.4316291,1.4291886,1.4645511,1.5238878,1.4683365,2.4829545
ID127,mase,0.434305,0.5225781,0.49925426,0.3537874,0.35670552,0.4517862,0.39940214,0.40171453,0.37477544,0.37499437,2.4201362
ID128,mase,0.04707491,0.1176781,0.091394745,0.26787105,0.12023862,0.07880051,0.064478144,0.036544684,0.07800757,0.09168934,2.2648525
ID129,mase,0.3010637,0.17041275,0.20286398,0.1759215,0.24599831,0.26465946,0.352006,0.3386172,0.44877398,0.45616117,3.544681
ID13,mase,1.1260104,1.153093,1.0141528,1.1015409,1.1095673,1.109444,1.0506251,1.1670713,1.1252366,1.1711001,1.4522916
ID130,mase,0.19548939,0.24831624,0.20583753,0.21619141,0.19495744,0.20984666,0.20793088,0.16456579,0.2050863,0.17986909,2.8455555
ID131,mase,0.023710495,0.0923351,0.03941865,0.031336024,0.0337186,0.053038165,0.023451518,0.014641175,0.02027907,0.022365117,1.3034129
ID132,mase,0.14171271,0.13337405,0.11293832,0.102510884,0.10809152,0.1427295,0.140656,0.1554606,0.16565908,0.1639425,1.029176
ID133,mase,0.8344052,0.775338,1.0423164,0.60986567,0.62195605,0.7993522,0.7659348,0.7860362,0.791418,0.80930376,1.7207462
ID134,mase,1.5752115,1.3758982,1.3297421,1.1541741,1.2362291,1.6518351,1.7225145,1.6620923,1.8262079,1.8431762,3.1866133
ID135,mase,0.16997188,0.19561696,0.1894583,0.5460269,0.11531685,0.17536797,0.37618086,0.21037333,0.29352957,0.2527029,0.8353081
ID136,mase,0.5262217,0.5490901,0.42292184,0.4943308,0.46972823,0.4799581,0.38433877,0.52208084,0.5734104,0.5360168,0.35698783
ID137,mase,0.8621906,0.8793827,0.6188195,0.44383872,0.6705061,0.9410492,0.8231354,0.94472265,1.0036751,1.0271736,1.0893016
ID138,mase,0.32971495,0.37072617,0.3418577,0.33378538,0.31388113,0.33241513,0.3366059,0.29326853,0.33616412,0.3110652,2.3620977
ID139,mase,1.5209675,1.5211241,1.5204719,1.4367312,1.4593575,1.5872035,1.6949291,1.479776,1.5640873,1.5357468,1.3930285
ID14,mase,0.742006,0.7329489,0.79746854,0.82370263,0.75453943,0.7554499,0.71379536,0.80104834,0.7337918,0.78939813,0.4299994
ID140,mase,3.1004436,2.9761899,2.9558825,3.375248,2.606229,2.969858,3.605436,3.1320004,3.2587955,3.2974951,0.5714286
ID141,mase,2.5710077,2.3537621,2.2366276,2.94149,2.0273418,2.3973916,2.7089171,2.4795434,2.798576,2.7517207,1.0826771
ID142,mase,0.2485392,0.18990445,0.4656837,0.12133203,0.27268207,0.2606489,0.20452616,0.27297273,0.1952541,0.15778443,0.8503401
ID143,mase,1.0227853,0.9238914,0.89965534,1.2044849,0.9163369,0.9858767,1.1125225,1.0369936,1.1464245,1.1107184,1.574074
ID144,mase,1.6436971,1.447729,1.4604164,1.2527008,1.3260074,1.5579822,1.5542167,1.6247256,1.7062488,1.7583106,1.1627907
ID145,mase,0.37230027,0.33389193,0.3233819,0.32658753,0.31703362,0.34072754,0.31808612,0.32401562,0.36392856,0.36825892,0.65575624
