unique_id,metric,SeasonalMBB,Jittering,Scaling,TimeWarping,MagnitudeWarping,TSMixup,DBA,original,qgts(25),qgtse(50),SeasonalNaive
ID0,mase,0.6156498,0.6077832,0.8554924,0.80408895,0.36941895,0.54493654,0.6503599,0.5830542,0.5742786,0.61735106,2.0234146
ID1,mase,1.1230129,1.1992505,1.1419778,1.186382,0.9388907,1.0872422,0.5503679,1.0599078,0.99108136,1.1372484,1.7774295
ID10,mase,1.4642311,1.4466065,1.414048,1.2978959,1.4201447,1.6074594,1.3106496,1.4423468,1.5628897,1.5040032,1.8304552
ID101,mase,1.7103525,1.6514024,1.5927758,1.0959748,0.9771037,1.611794,1.1504737,1.3934954,1.5261766,1.6621065,7.6812987
ID102,mase,0.5514699,0.48232603,0.7837883,0.86780584,0.71833277,0.45820794,0.4738164,0.6695091,0.599986,0.5585883,1.6502922
ID103,mase,0.44738945,0.5927447,0.33143556,0.8996535,0.20715038,0.40935165,0.5666592,0.5857515,0.63193864,0.4925637,2.0384614
ID104,mase,0.3203513,0.391943,0.9043639,0.53013414,0.19810465,0.19540614,0.34316203,0.39646763,0.27473485,0.33050957,3.302027
ID105,mase,0.17235944,0.26852044,0.21113889,0.3373081,0.24723332,0.20097041,0.489598,0.18756536,0.22001207,0.16115974,1.8073021
ID107,mase,1.1339269,1.2270914,1.205976,0.9148374,1.0981313,1.26807,1.3823808,1.4166338,1.4377141,1.3413604,2.9213116
ID108,mase,1.0569152,1.0422144,0.55386937,1.0180559,0.7579486,0.98526466,0.7373177,0.99772114,0.8976073,0.8891448,0.79044586
ID109,mase,4.430102,4.645545,4.473046,4.6438494,4.4593,4.578913,4.3542624,4.595319,4.6331177,4.5893974,4.5462613
ID110,mase,0.237907,0.45004058,0.6946486,0.69357514,0.45922342,0.32287705,0.2010158,0.32783616,0.2506623,0.3512774,0.49122807
ID111,mase,0.58969235,0.55028397,0.8691248,0.6119501,0.7266543,0.48081878,0.7114384,0.652099,0.57847244,0.6309929,1.6375946
ID112,mase,0.5235615,0.43492433,0.9201433,0.9106254,0.6574441,0.39302865,0.43363893,0.3805428,0.34812728,0.32394743,2.897561
ID113,mase,0.8399306,0.75878304,0.9283188,0.40297762,0.6800384,0.7828726,0.6776164,0.77892125,0.95834434,0.8336312,0.9585925
ID114,mase,1.2466729,1.3232149,1.6115353,0.7237895,0.8794559,1.0528944,0.73827696,1.0379342,1.1320162,1.3198538,2.2757685
ID115,mase,1.405195,1.5886819,0.6392926,1.7313881,1.720901,1.5817574,1.478112,1.3265847,1.3891131,1.3150107,1.4956268
ID116,mase,0.07017478,0.07117026,0.06995936,0.05937299,0.044456612,0.055609886,0.08871595,0.12232088,0.12238664,0.11889452,1.3096288
ID117,mase,0.28262833,0.3138691,0.28886357,0.37375113,0.27247635,0.28702527,0.27309895,0.28075302,0.26613292,0.2886225,1.3030236
ID118,mase,0.11413687,0.107580915,0.06924523,0.047150627,0.15509526,0.14071395,0.18739842,0.14634243,0.1730671,0.1471094,1.0729381
ID119,mase,0.6632648,0.5815544,0.61900663,0.89777136,0.67435193,0.67124426,0.7338451,0.7019533,0.72344357,0.7420651,1.7068273
ID12,mase,0.030269654,0.051633768,0.057132363,0.042722553,0.045472343,0.05742775,0.040101826,0.055065148,0.049287945,0.045360554,0.11320755
ID120,mase,0.07764113,0.22216824,0.2594818,0.2159307,0.09183334,0.23103872,0.17559054,0.0975669,0.2503181,0.28682056,2.8591032
ID121,mase,0.4253673,0.43070936,0.43131164,0.42419508,0.45894584,0.47827387,0.41673458,0.46488768,0.42412677,0.42586774,0.43619797
ID122,mase,0.42485768,0.43268752,0.46605042,0.3289068,0.42781577,0.41462058,0.41330075,0.4042585,0.38076255,0.40008962,1.1764195
ID123,mase,0.46719038,0.5203676,0.35268727,0.26328197,0.5038553,0.5396777,0.59515077,0.5434579,0.59234595,0.57707065,2.0938842
ID124,mase,0.30015066,0.324924,0.33198524,0.2591505,0.2758815,0.24522747,0.30445933,0.32207188,0.30185273,0.33120838,0.602953
ID125,mase,0.6271101,0.7318118,0.63955057,0.77691835,0.4721159,0.7304318,0.5404607,0.6111027,0.5558143,0.4437657,0.16764669
ID126,mase,1.5755646,1.4944578,1.7809289,1.4670558,1.4117706,1.441198,1.4752533,1.5016514,1.5437528,1.5728697,2.4829545
ID127,mase,0.5136983,0.4759623,0.4488638,0.37276483,0.3499872,0.48298877,0.37084138,0.41247955,0.41384616,0.46170318,2.4201362
ID128,mase,0.092375815,0.055440173,0.035262592,0.21817139,0.15914375,0.0546399,0.034815647,0.08507239,0.0798137,0.052768614,2.2648525
ID129,mase,0.15061204,0.2242159,0.28600943,0.23290302,0.20325811,0.23665798,0.33094627,0.41161978,0.41674936,0.30856517,3.544681
ID13,mase,1.0951476,1.1923833,1.0701208,1.1701139,1.0415186,1.0934012,1.1409109,1.2799962,1.1573696,1.1999775,1.4522916
ID130,mase,0.20991927,0.19702418,0.20127271,0.20301811,0.18103005,0.19386332,0.18965362,0.16228193,0.14093941,0.19065501,2.8455555
ID131,mase,0.070250966,0.07311135,0.041130476,0.03180218,0.051501147,0.040997103,0.031986054,0.011627996,0.017638816,0.015837641,1.3034129
ID132,mase,0.12848496,0.1636478,0.13025557,0.11008989,0.13025557,0.14473374,0.15586919,0.16528335,0.16269441,0.14611687,1.029176
ID133,mase,0.77456516,0.7318493,1.0328422,0.68693465,0.70367897,0.67437273,0.778566,0.7250547,0.8581668,0.83261627,1.7207462
ID134,mase,1.3221338,1.4930905,1.220397,1.0620463,1.3585229,1.5100961,1.4759209,1.3663509,1.5452615,1.5919496,3.1866133
ID135,mase,0.07093764,0.05762995,0.2342649,0.56896555,0.1375531,0.19083484,0.3824198,0.11105216,0.05335279,0.116787225,0.8353081
ID136,mase,0.5184431,0.59936386,0.42265838,0.5560734,0.4359753,0.49663445,0.41474804,0.52966833,0.5952438,0.5268001,0.35698783
ID137,mase,0.9385464,0.9251414,0.5828287,0.5065725,0.54576373,0.8470954,1.0225083,1.0314215,0.9869011,1.0175837,1.0893016
ID138,mase,0.34242666,0.32448527,0.33350587,0.37114584,0.29535705,0.33039057,0.32107294,0.30614626,0.2910749,0.33101895,2.3620977
ID139,mase,1.6128414,1.4968143,1.5238523,1.4407783,1.4401333,1.4898074,1.5819829,1.4922925,1.476169,1.4894395,1.3930285
ID14,mase,0.7127855,0.8198805,0.8154134,0.8136792,0.79027027,0.79067916,0.6976689,0.793176,0.7430434,0.7671939,0.4299994
ID140,mase,2.7082736,2.6547291,2.9780045,3.3256145,2.088156,2.9593124,3.3015277,2.5096538,2.5744188,2.8506339,0.5714286
ID141,mase,2.2031634,2.5063229,1.7794122,3.0110705,1.8006873,2.288355,2.7374358,2.3184536,2.262165,2.1134984,1.0826771
ID142,mase,0.16385682,0.18211026,0.38565162,0.07539736,0.23756091,0.17578618,0.18561746,0.17249957,0.17810613,0.15511546,0.8503401
ID143,mase,0.97021806,0.88489246,0.9047692,1.2128801,0.95232576,0.9757466,1.0493327,1.0028139,1.0323397,1.0497835,1.574074
ID144,mase,1.4857562,1.5301797,1.505963,1.2692251,1.2495714,1.5109816,1.5659256,1.6384834,1.6074091,1.6144769,1.1627907
ID145,mase,0.42159107,0.38093695,0.26742226,0.29109022,0.32904828,0.38658664,0.34590286,0.3323373,0.35916826,0.35897,0.65575624
ID146,mase,0.5110679,0.59184885,0.4154487,0.5486332,0.42874265,0.48929697,0.40755203,0.5222737,0.58773595,0.5194105,0.3498916
ID147,mase,0.45856833,0.40600452,0.5145516,0.42987218,0.45517728,0.40822658,0.42258617,0.42944878,0.4403406,0.45121634,0.6132707
ID148,mase,0.087710746,0.09403873,0.2243291,0.12013152,0.08552215,0.07655619,0.1266462,0.071686395,0.10388576,0.067205705,0.15455092
ID149,mase,0.10827822,0.13346797,0.14309758,0.16594753,0.06042881,0.1438505,0.14264418,0.15604569,0.10248243,0.14532357,0.13126473
ID15,mase,1.4407747,1.3864244,1.4692221,1.2186394,1.4520525,1.3269135,1.4852146,1.4863418,1.4488951,1.4662421,1.8256366
ID150,mase,0.19607681,0.13264444,0.34733644,0.221048,0.18439066,0.13197508,0.24416341,0.15907288,0.1019932,0.14773335,0.20503615
ID151,mase,0.1873437,0.17162769,0.28450283,0.2244815,0.2081866,0.18764302,0.23246388,0.20680389,0.18947443,0.1953534,0.14474365
ID152,mase,0.41277424,0.40071514,0.39678013,0.4053502,0.48751026,0.41844946,0.38476896,0.3932937,0.39561737,0.40679297,0.46729
ID153,mase,0.22898485,1.1648867,0.7305488,4.3597054,2.569656,1.4165002,2.0185566,1.1777694,1.0437529,0.8453079,2.8177965
ID154,mase,0.65760773,0.595958,0.81646776,1.5464921,0.1604329,0.87515885,1.3960843,0.73695993,0.7017219,0.9202957,1.3285024
ID155,mase,1.0175025,1.2263831,1.089446,1.7448655,0.7256806,1.1710938,1.3094183,1.1418769,1.1657939,1.2494708,0.8336815
ID156,mase,1.5755646,1.4944578,1.7809289,1.4670558,1.4117706,1.441198,1.4752533,1.5016514,1.5437528,1.5728697,2.4829545
ID157,mase,1.0045828,1.0903028,0.932766,0.6785815,0.75126064,1.0279154,1.1278586,1.2529002,1.1690406,1.2262858,1.7381536
ID158,mase,1.0273591,1.0546666,0.9472268,0.7303161,0.78616357,1.0102785,1.0666939,1.1376728,1.0932631,1.117405,0.95053196
ID159,mase,0.051556613,0.0520584,0.08282471,0.12381293,0.13439228,0.047522407,0.06308178,0.13416825,0.10971411,0.12474283,2.0414534
ID16,mase,1.9288648,1.7847424,1.9367763,1.5536468,1.6675973,1.7459185,1.571811,1.7397506,1.8172184,1.8642162,2.4200675
ID160,mase,1.1072814,1.0363503,0.76473016,0.65751934,0.71862954,0.9352639,1.1520009,1.0778872,1.0872836,1.0813698,0.7446038
ID161,mase,0.66962177,0.69932497,0.6884689,0.50190896,0.46351856,0.6760338,0.7315106,0.7984518,0.7809297,0.7780752,1.7895588
ID162,mase,1.5305892,1.3405828,1.7776154,2.410541,0.8398882,1.6517447,2.2564862,1.2828758,1.3784875,1.7257847,0.75376886
ID163,mase,1.6455503,1.6268711,1.8924505,2.423882,0.799811,1.8322,2.3838344,1.4437315,1.7338037,1.8891804,0.3829787
ID164,mase,2.638981,2.7156994,2.8922496,2.5691652,2.491311,2.713599,2.2720232,2.6330364,2.9542346,2.7829912,3.0069637
ID165,mase,0.3433522,0.2990971,0.24162768,0.2555499,0.28062302,0.36343765,0.26457837,0.3049333,0.31564736,0.31704998,0.3997599
ID166,mase,2.0551376,2.0836256,1.9398357,2.1089478,1.9615201,2.0628433,2.1209073,2.0130002,1.9569274,1.9686841,1.9655173
ID167,mase,1.9420761,1.9524697,1.9112589,1.8273944,1.9014128,1.9093926,1.8902444,1.8476413,1.8597122,1.8858815,3.536042
ID168,mase,0.11375314,0.15544772,0.15628448,0.29713193,0.25838608,0.12358504,0.22696182,0.17444097,0.16624533,0.13178927,1.2620192
ID17,mase,1.2679309,1.315024,1.3459966,1.3014238,1.4377218,1.3301351,1.4375741,1.4139938,1.4199904,1.3487877,0.93955517
ID173,mase,0.37823716,0.37430188,0.36891598,0.482683,0.37590784,0.3595447,0.3679927,0.38439843,0.36437804,0.36806092,0.38770822
ID174,mase,0.15769175,0.18276891,0.20157702,0.1787034,0.15870824,0.16028824,0.17197043,0.1690783,0.15542953,0.16667283,1.0432191
ID175,mase,0.23445411,0.2422995,0.25145876,0.2044338,0.22303785,0.23248748,0.21406624,0.22769037,0.23651357,0.24068113,0.27427596
ID176,mase,2.6040826,2.8255756,2.9397173,2.7384229,2.5452688,2.8423152,2.169601,2.7236526,3.0098906,2.9979646,3.3308551
ID177,mase,0.31281856,0.33966297,0.37251976,0.37352133,0.37629238,0.35092023,0.3543414,0.39417168,0.34719035,0.37678832,0.9008314
ID178,mase,0.077656075,0.08637893,0.08371941,0.10618643,0.14632788,0.04784407,0.23184995,0.08345437,0.059556838,0.06154104,0.07614206
ID179,mase,0.12230873,0.28130764,0.112843305,0.23840088,0.16589457,0.22993988,0.27118838,0.12007108,0.09386977,0.091797136,0.5786026
ID18,mase,1.276786,1.2114358,1.2222099,1.2839837,1.3396647,1.3268135,1.2348887,1.262002,1.2485598,1.2899011,1.5177279
ID180,mase,0.05187514,0.10602278,0.24129246,0.09825989,0.5100043,0.16565214,0.09767892,0.10304055,0.07567191,0.043612834,1.535254
ID181,mase,1.4213444,2.008954,2.369574,2.3693385,2.2137764,2.1873398,1.6499218,2.0215015,1.846933,1.8232393,5.72165
ID182,mase,0.12243755,0.041944046,0.52669865,0.30404243,0.36361548,0.109578565,0.16982147,0.06532378,0.08448366,0.15082939,2.7380283
ID183,mase,0.5879869,0.50027144,0.86199784,0.8399215,0.31018862,0.4161073,0.6384589,0.34544,0.33592352,0.33493647,2.999998
ID184,mase,0.43339258,0.6750751,0.42705762,0.73299074,0.11592288,0.82316107,0.9103134,0.11553565,0.23149219,0.33614504,2.8151262
ID185,mase,1.0622307,1.4225966,1.2176061,1.2387624,1.1927903,1.5559704,1.6601913,1.4782833,0.7960877,1.4021969,2.4489794
ID186,mase,0.24015154,0.28081894,0.25055477,0.26411602,0.2527346,0.29035568,0.2791623,0.24587904,0.26884624,0.25082725,0.35714287
ID187,mase,1.0188522,0.83624536,0.9181219,0.5447478,0.6235545,0.5772651,1.8150365,1.1769415,0.7466872,0.7409714,0.8241758
ID188,mase,3.5015452,4.5944285,3.1329992,6.291011,5.1595044,4.0614533,4.5117645,3.9947114,4.0168214,4.0226035,0.95864654
ID189,mase,0.1701249,0.14759147,0.24526891,0.15672739,0.17413817,0.15972064,0.14987245,0.15881673,0.15823807,0.16790059,0.37439597
ID19,mase,0.556625,0.60788304,0.81409717,0.5716987,0.5745407,0.60252064,0.5537886,0.5957518,0.5841891,0.5622007,2.1662853
ID192,mase,3.1880972,2.815641,2.5115235,2.686703,1.3364257,3.205803,3.1660464,2.9940186,2.9567811,2.948297,0.91463417
ID193,mase,2.9232533,2.4368443,2.7088861,2.6900458,2.8315873,2.838528,2.9970777,2.5447264,2.4818616,2.6249025,1.374868
ID194,mase,0.6005125,0.6403565,1.1643968,0.2526209,0.43583873,0.6725096,0.736635,0.62050825,0.67421144,0.7065583,2.1226304
ID195,mase,2.5493827,2.473249,2.4423866,2.4031,2.6073337,2.5011096,2.3673894,2.5326762,2.482649,2.4105978,2.10476
ID196,mase,0.49066728,0.53096545,0.5542399,0.8896492,0.7114354,0.56434757,0.7823531,0.76496553,0.5752276,0.5001403,0.33703357
ID197,mase,0.16139354,0.15062828,0.13858661,0.20138645,0.1155714,0.14499797,0.12926197,0.11927776,0.11508541,0.15146407,1.925
ID198,mase,0.64645296,0.64648354,0.6831022,0.7148823,0.7001565,0.66533273,0.5889009,0.63840914,0.6261592,0.63097614,1.1333333
ID199,mase,2.9160216,2.8218555,2.3754208,2.1282084,2.8184721,2.8130617,2.666724,2.866165,2.6640477,2.592159,2.4128654
ID2,mase,1.2895848,1.4457699,1.0054457,2.2499626,1.168788,1.8310049,1.6655873,1.6819682,1.4895036,1.5484926,1.233998
ID20,mase,2.0166361,2.094928,2.1004627,2.0551412,2.0175252,2.0972643,1.9377859,2.0659258,2.0987277,2.1081579,2.1860843
ID200,mase,1.9617337,1.8932263,2.551711,2.5387368,2.4546669,1.9873838,1.8201454,1.6850228,1.8214628,1.7308252,5.0329757
ID201,mase,0.8216852,0.89801174,0.78993946,0.63344824,0.6655046,0.86439735,0.94390666,1.0592216,0.9860727,1.0395961,1.2861842
ID202,mase,0.33136284,0.29866302,0.3911186,0.11782214,0.17032138,0.3236494,0.19459592,0.28670284,0.28012568,0.28414577,0.69105685
ID21,mase,0.31473038,0.3877387,0.45662826,0.8346953,0.35712093,0.4135086,0.39493227,0.47306457,0.607742,0.35119006,0.5606472
ID22,mase,2.9669144,3.000939,2.986181,2.498703,2.3659177,2.8913136,3.0979474,3.3058376,3.3010478,3.2681537,5.221981
ID23,mase,1.0676689,1.2590185,1.0385469,1.919379,0.9334469,1.2491667,1.4245477,1.1128781,0.81980413,1.0297679,2.5647058
ID24,mase,1.2941701,1.3090513,1.676607,1.3184255,1.0160843,1.2448624,1.3429266,1.293301,1.3510627,1.3804345,3.026011
ID25,mase,1.1649815,1.1783768,1.5092415,1.1868153,0.91465527,1.1205956,1.2088705,1.1641988,1.2161944,1.2426343,2.723943
ID26,mase,1.2750444,1.0104808,1.0417466,0.82181215,1.0403099,0.9710611,0.8900003,1.012628,1.041984,1.3259463,2.1117053
ID28,mase,2.4718769,2.6049871,2.3347156,1.8459743,1.9693686,2.1921692,2.307897,2.2694535,2.7886865,2.472584,3.0583684
ID29,mase,1.3517582,1.2925109,1.2189882,1.3870777,1.3811979,1.3259743,1.3970284,1.3800977,1.3650047,1.333056,0.52228415
ID3,mase,4.3543363,3.9765947,3.4036784,3.6258402,4.625147,3.917535,3.778721,4.0481477,4.153002,3.7962158,2.7211468
