from,to,weight
0,13,0.2
0,14,0.2
0,15,0.2
0,21,0.2
0,23,0.2
1,18,0.2
1,22,0.2
1,23,0.2
1,24,0.4
2,3,0.2
2,5,0.2
2,10,0.2
2,11,0.2
2,24,0.2
3,10,0.2
3,15,0.2
3,16,0.2
3,20,0.2
3,21,0.2
4,7,0.2
4,8,0.2
4,14,0.4
4,17,0.2
5,5,0.2
5,6,0.2
5,10,0.2
5,11,0.2
5,17,0.2
6,4,0.2
6,8,0.2
6,17,0.2
6,18,0.2
6,22,0.2
7,7,0.2
7,8,0.2
7,11,0.2
7,21,0.2
7,24,0.2
8,1,0.2
8,6,0.2
8,16,0.2
8,20,0.2
8,24,0.2
9,2,0.2
9,6,0.2
9,12,0.4
9,18,0.2
10,6,0.2
10,10,0.2
10,18,0.4
10,21,0.2
11,1,0.2
11,4,0.2
11,19,0.2
11,22,0.2
11,23,0.2
12,1,0.25
12,4,0.25
12,16,0.25
12,19,0.25
13,1,0.2
13,8,0.2
13,15,0.2
13,20,0.2
13,23,0.2
14,2,0.4
14,3,0.2
14,11,0.2
14,17,0.2
15,4,0.25
15,7,0.25
15,9,0.25
15,13,0.25
16,10,0.2
16,12,0.2
16,13,0.2
16,21,0.2
16,23,0.2
17,0,0.2
17,5,0.2
17,13,0.2
17,15,0.2
17,22,0.2
18,0,0.2
18,9,0.4
18,16,0.2
18,19,0.2
19,2,0.2
19,3,0.2
19,4,0.2
19,5,0.2
19,22,0.2
20,3,0.2
20,7,0.2
20,8,0.2
20,19,0.2
20,20,0.2
21,0,0.2
21,14,0.4
21,17,0.2
21,19,0.2
22,0,0.2
22,5,0.2
22,6,0.2
22,11,0.2
22,15,0.2
23,0,0.2
23,7,0.2
23,9,0.4
23,12,0.2
24,1,0.2
24,2,0.2
24,3,0.2
24,13,0.2
24,20,0.2
